unityGameTime;leftEyeClosedValue;rightEyeClosedValue;rightCheekRiseValue;leftCheekRiseValue;rightSmileValue;leftSmileValue;rightDimplerValue;leftDimplerValue;rightEyeUpValue;leftEyeUpValue;rightEyeDownValue;leftEyeDownValue;rightEyeRightValue;leftEyeRightValue;rightEyeLeftValue;leftEyeLeftValue;leftBrowLowerValue;rightBrowLowerValue;leftInnerBrowRiseValue;rightInnerBrowRiseValue;leftLidTightnerValue;rightLidTightnerValue;jawDropValue;leftLidRiserValue;rightLidRiserValue;leftLipCornerDepressor;rightLipCornerDepressor;label;flag
3.701;0.000;0.000;0.000;0.000;0.000;0.000;0.002;0.002;0.014;0.014;0.000;0.000;0.000;0.085;0.001;0.000;0.012;0.001;0.054;0.077;0.169;0.157;0.106;0.027;0.027;0.011;0.011;natural;0
3.780;0.004;0.158;0.024;0.008;0.005;0.005;0.042;0.041;0.000;0.000;0.224;0.131;0.000;0.044;0.042;0.000;0.022;0.022;0.175;0.213;0.121;0.238;0.082;0.001;0.001;0.001;0.001;natural;0
3.856;0.000;0.049;0.021;0.017;0.002;0.002;0.003;0.004;0.000;0.000;0.056;0.008;0.002;0.089;0.000;0.000;0.027;0.032;0.153;0.168;0.130;0.141;0.039;0.000;0.000;0.000;0.000;natural;0
3.936;0.000;0.001;0.004;0.004;0.001;0.001;0.000;0.001;0.000;0.000;0.001;0.000;0.010;0.097;0.000;0.000;0.024;0.024;0.094;0.113;0.138;0.100;0.029;0.000;0.000;0.000;0.000;natural;0
4.010;0.000;0.028;0.027;0.035;0.000;0.000;0.000;0.000;0.000;0.000;0.029;0.001;0.048;0.136;0.000;0.000;0.032;0.030;0.126;0.145;0.165;0.110;0.026;0.000;0.000;0.000;0.000;natural;0
4.087;0.039;0.000;0.049;0.053;0.006;0.006;0.080;0.080;0.000;0.000;0.117;0.155;0.042;0.132;0.000;0.000;0.043;0.046;0.190;0.224;0.179;0.190;0.198;0.000;0.000;0.000;0.000;natural;0
4.156;0.025;0.000;0.054;0.054;0.010;0.010;0.075;0.072;0.000;0.000;0.111;0.135;0.039;0.130;0.000;0.000;0.052;0.056;0.249;0.283;0.184;0.224;0.260;0.000;0.000;0.000;0.000;natural;0
4.226;0.000;0.024;0.072;0.088;0.005;0.010;0.014;0.012;0.000;0.000;0.087;0.064;0.023;0.113;0.000;0.000;0.056;0.058;0.250;0.273;0.270;0.271;0.204;0.000;0.000;0.000;0.000;natural;0
4.291;0.000;0.025;0.074;0.101;0.004;0.011;0.001;0.001;0.000;0.000;0.075;0.050;0.023;0.113;0.000;0.000;0.060;0.061;0.218;0.243;0.251;0.259;0.154;0.000;0.000;0.008;0.000;natural;0
4.357;0.000;0.006;0.049;0.053;0.006;0.011;0.109;0.094;0.000;0.000;0.009;0.004;0.266;0.352;0.000;0.000;0.049;0.043;0.123;0.152;0.255;0.241;0.245;0.006;0.000;0.003;0.000;natural;0
4.424;0.000;0.000;0.017;0.032;0.009;0.011;0.144;0.128;0.000;0.000;0.000;0.000;0.443;0.525;0.000;0.000;0.032;0.025;0.094;0.138;0.243;0.152;0.226;0.036;0.008;0.001;0.000;natural;0
4.485;0.000;0.000;0.011;0.012;0.018;0.017;0.157;0.146;0.000;0.000;0.000;0.000;0.395;0.478;0.000;0.000;0.021;0.018;0.083;0.134;0.191;0.150;0.233;0.053;0.010;0.001;0.000;natural;0
4.547;0.000;0.000;0.013;0.014;0.019;0.018;0.140;0.130;0.000;0.000;0.000;0.000;0.337;0.421;0.000;0.000;0.017;0.015;0.079;0.121;0.187;0.131;0.169;0.062;0.011;0.000;0.000;natural;0
4.605;0.000;0.000;0.018;0.020;0.016;0.023;0.134;0.124;0.000;0.000;0.000;0.000;0.307;0.392;0.000;0.000;0.015;0.014;0.078;0.126;0.186;0.146;0.151;0.054;0.011;0.000;0.000;natural;0
4.660;0.000;0.000;0.023;0.025;0.018;0.018;0.146;0.130;0.000;0.000;0.000;0.000;0.287;0.372;0.000;0.000;0.013;0.013;0.071;0.127;0.185;0.144;0.154;0.048;0.008;0.000;0.000;natural;0
